location,State,Result
Aztec NM,New Mexico,1
New York,New York,1
"Memphis, TN",Tennessee,1
"Waterbury, CT",Connecticut,1
"Sewanee, TN",Tennessee,1
"Queens, NY",New York,1
NYC,New York,1
"Cambridge, MA",Massachusetts,1
"Kansas City, KS",Kansas,1
Texas,Texas,1
"La Vergne, TN Police Dept",Tennessee,1
"International Falls, MN",Minnesota,1
"Maryland, USA",Maryland,1
"Tampa, FL",Florida,1
Wisconsin,Wisconsin,1
"Camp Lejeune, NC ",North Carolina,1
Clearwater Florida ,Florida,1
"McKeesport, PA",Pennsylvania,1
"Colton, Oregon",Oregon,1
"Boston, MA",Massachusetts,1
"Ontario, CA",California,1
"St Louis, MO",Missouri,1
"Williamsburg, VA",Virginia,1
pearl,Mississippi,1
"Greece, NY",New York,1
78 Sunderland Rd Amherst MA,Massachusetts,1
"Sharpsburg, GA",Georgia,1
"NW Louisiana, USA",Louisiana,1
Florida,Florida,1
Bharleston SC,South Carolina,1
"Illinois, USA",Illinois,1
"Miami Beach, Florida",Florida,1
"Hoboken, NJ",New Jersey,1
Edmonton,Kentucky,0
"New Orleans, LA",Louisiana,1
"Texas, USA",Texas,1
"South Euclid, OH",Ohio,1
Southern Cali,California,1
"Florida, USA",Florida,1
"Brooklyn, NY",New York,1
"New York, NY",New York,1
"Florida, USA",Florida,1
"Las Vegas, NV",Nevada,1
"Miami, FL",Florida,1
"Texas, USA",Texas,1
"Menlo Park, CA",California,1
"pittsburgh, pa",Pennsylvania,1
"New Orleans, LA",Louisiana,1
"Abilene, TX",Texas,1
"Walnut, CA",California,1
North Carolina,North Carolina,1
New York City,New York,1
"Baltimore, MD",Maryland,1
"Wylie, TX",Texas,1
"Shamong, NJ",New Jersey,1
"Brisbane, Queensland",California,-1
"Astoria, OR",Oregon,1
Johannesburg,Michigan,0
"Los Angeles, CA",California,1
"Salmon Creek, wa",Washington,1
"New York, NY",New York,1
"Des Moines, IA",Iowa,1
"Minneapolis, MN",Minnesota,1
"Anchorage, Alaska ",Alaska,1
"Maryland, USA",Maryland,1
"Milton, GA",Georgia,1
"Arlington, MA",Massachusetts,1
"The X Mansion, New Jersey ",New Jersey,1
"Sacramento, CA",California,1
"Atlanta, Ga",Georgia,1
"Edison HS, Alexandria, VA",Virginia,1
"Reading, PA",Pennsylvania,1
"Washington, USA",Washington,1
"columbus, ohio",Ohio,1
"Cherryville, NC",North Carolina,1
NJ,New Jersey,1
"Baton Rouge, LA",Louisiana,1
"Texas, USA",Texas,1
"Houston, TX",Texas,1
"Cedarburg, WI",Wisconsin,1
"Bridgeport, CT",Connecticut,1
"Dracut, MA",Massachusetts,1
"Denver, CO",Colorado,1
"Iowa, USA",Iowa,1
"Fort Myers, FL",Florida,1
"Queens, NY",New York,1
SF/Bay - CA,California,1
California,California,1
"Minneapolis, MN",Minnesota,1
"Atlanta, GA",Georgia,1
"Singer Island, FL",Florida,1
"Downey, CA",California,1
"Seven Points, TX",Texas,1
"New Jersey, USA",New Jersey,1
Canada,Kentucky,-1
"Minneapolis, MN",Minnesota,1
"California, USA",California,1
Los Angeles,California,1
Los Angeles,California,1
Florida,Florida,1
